,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
0,2.5096,1.2219,5.771,1.247,0,0.0,0.0,-0.0123,0.0144,0.042,-0.075,104,19,0.028,127,57.4211,4.0055,0.9151,5.771,2.625,3.146,1,5.771,-0.0255,0.0184,0.042,-0.075,20,0.0275,2.0786,0.2603,2.613,1.702,0,0.0,-0.0077,0.0038,-0.0005,-0.0245,4,0.011,1.4446,0.1269,1.697,1.247,0,0.0,-0.0038,0.0015,-0.0015,-0.0105,0,0.0,3
1,2.5343,1.2511,6.434,1.249,0,0.0,0.0,-0.0149,0.0261,0.0025,-0.359,0,15,0.0347,118,50.2667,4.0661,0.9417,6.434,2.621,3.813,0,0.0,-0.0333,0.039,-0.0085,-0.359,19,0.0317,2.0886,0.261,2.611,1.704,0,0.0,-0.0076,0.0038,0.0025,-0.0205,3,0.0087,1.4483,0.1293,1.701,1.249,0,0.0,-0.0038,0.0014,-0.001,-0.008,0,0.0,3
2,2.5447,1.2596,6.131,1.25,1,6.131,1.0,-0.0127,0.0193,0.201,-0.099,0,28,0.0326,253,64.1071,4.0894,0.9427,6.131,2.629,3.502,1,6.131,-0.0267,0.0283,0.201,-0.099,27,0.0341,2.0942,0.261,2.617,1.722,0,0.0,-0.0075,0.004,0.007,-0.0215,3,0.0098,1.4506,0.1304,1.719,1.25,0,0.0,-0.0039,0.0018,-0.001,-0.013,2,0.0108,3
3,2.5554,1.2799,6.353,1.248,0,0.0,0.0,-0.0136,0.0177,0.134,-0.103,0,18,0.038,212,47.6111,4.1182,0.9783,6.353,2.628,3.725,0,0.0,-0.0294,0.0233,0.134,-0.103,20,0.0379,2.0956,0.2647,2.616,1.71,0,0.0,-0.0076,0.0039,0.0045,-0.0205,1,0.013,1.4524,0.131,1.706,1.248,0,0.0,-0.0038,0.0015,0.0,-0.009,0,0.0,3
4,2.5793,1.3059,6.544,1.252,0,0.0,0.0,-0.0148,0.018,0.001,-0.1245,4,24,0.0382,133,64.7083,4.174,1.0004,6.544,2.652,3.892,0,0.0,-0.0327,0.0216,-0.0055,-0.1245,20,0.0448,2.1061,0.27,2.644,1.722,0,0.0,-0.0077,0.0038,0.001,-0.017,7,0.0044,1.4579,0.1335,1.72,1.252,0,0.0,-0.0039,0.0019,-0.0005,-0.0105,0,0.0,3
5,2.5784,1.2937,6.479,1.256,0,0.0,0.0,-0.0145,0.0185,0.006,-0.1145,3,27,0.0397,189,65.6667,4.1652,0.9709,6.479,2.651,3.828,0,0.0,-0.0319,0.0234,0.006,-0.1145,25,0.0432,2.1104,0.2689,2.637,1.717,0,0.0,-0.0077,0.0039,-0.0005,-0.0195,5,0.0079,1.4597,0.134,1.712,1.256,0,0.0,-0.0038,0.0016,-0.0015,-0.009,0,0.0,3
6,2.5851,1.3058,6.379,1.261,0,0.0,0.0,-0.0143,0.0168,-0.0005,-0.106,109,23,0.043,201,61.9565,4.1856,0.9854,6.379,2.649,3.73,0,0.0,-0.0312,0.0198,-0.005,-0.106,22,0.045,2.11,0.2704,2.642,1.716,0,0.0,-0.0078,0.0034,-0.0015,-0.0175,5,0.0113,1.4597,0.1334,1.704,1.261,0,0.0,-0.0037,0.0016,-0.0005,-0.0095,0,0.0,3
7,2.5906,1.3227,6.589,1.257,0,0.0,0.0,-0.0148,0.0182,0.0015,-0.1075,5,23,0.0306,169,60.8696,4.2021,1.0258,6.589,2.659,3.93,0,0.0,-0.0328,0.022,-0.002,-0.1075,21,0.0362,2.1098,0.2693,2.646,1.707,0,0.0,-0.0079,0.0036,0.0015,-0.0185,4,0.0148,1.46,0.1326,1.702,1.257,0,0.0,-0.0037,0.0014,-0.001,-0.0075,0,0.0,3
8,2.5923,1.3161,6.293,1.258,0,0.0,0.0,-0.013,0.0218,0.231,-0.115,0,24,0.0354,201,76.1667,4.2031,1.0007,6.293,2.676,3.617,1,6.293,-0.0273,0.0329,0.231,-0.115,22,0.0387,2.1137,0.2683,2.654,1.717,0,0.0,-0.0079,0.0044,0.0015,-0.019,8,0.0102,1.4601,0.1317,1.709,1.258,0,0.0,-0.0038,0.0016,-0.0015,-0.0105,0,0.0,3
9,2.5863,1.3172,6.579,1.256,0,0.0,0.0,-0.0148,0.0186,0.0045,-0.145,5,24,0.0359,123,66.75,4.1919,1.0199,6.579,2.683,3.896,0,0.0,-0.0328,0.0229,-0.0065,-0.145,21,0.0406,2.1079,0.2652,2.648,1.714,0,0.0,-0.008,0.0047,0.0045,-0.0225,6,0.0065,1.4592,0.1325,1.704,1.256,0,0.0,-0.0038,0.0014,-0.001,-0.009,0,0.0,3
10,2.5868,1.3185,6.586,1.255,0,0.0,0.0,-0.0149,0.0188,0.002,-0.1555,4,19,0.0394,136,65.2105,4.1953,1.0195,6.586,2.675,3.911,0,0.0,-0.0328,0.0235,-0.004,-0.1555,21,0.0383,2.1056,0.2624,2.65,1.717,0,0.0,-0.0079,0.0045,0.002,-0.022,7,0.0104,1.4596,0.134,1.711,1.255,0,0.0,-0.0038,0.0014,-0.0005,-0.008,1,0.0005,3
11,2.5668,1.2938,6.528,1.251,0,0.0,0.0,-0.0146,0.0191,0.019,-0.1455,3,25,0.0381,215,67.6,4.1477,0.9912,6.528,2.666,3.862,0,0.0,-0.032,0.0245,0.019,-0.1455,25,0.0378,2.096,0.2623,2.651,1.711,0,0.0,-0.0079,0.0046,0.002,-0.0305,5,0.0159,1.4566,0.1329,1.705,1.251,0,0.0,-0.0038,0.0015,0.0,-0.009,0,0.0,3
