,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
0,2.3585,0.9553,4.812,1.242,0,0.0,0.0,-0.0101,0.0125,0.008,-0.122,0,15,0.0222,199,79.8,3.5314,0.5498,4.812,2.722,2.09,0,0.0,-0.018,0.0148,0.008,-0.122,14,0.0175,2.1162,0.348,2.715,1.658,0,0.0,-0.0088,0.0117,0.002,-0.0975,5,0.0274,1.4278,0.1195,1.655,1.242,0,0.0,-0.0035,0.0013,0.0005,-0.0085,0,0.0,3
1,2.3637,0.9645,4.861,1.245,0,0.0,0.0,-0.0101,0.0112,0.0005,-0.098,164,19,0.0216,182,92.5789,3.5441,0.5718,4.861,2.728,2.133,0,0.0,-0.018,0.012,-0.0005,-0.07,16,0.0195,2.1181,0.3487,2.719,1.664,0,0.0,-0.0089,0.0111,0.0005,-0.098,10,0.0187,1.4288,0.1197,1.658,1.245,0,0.0,-0.0035,0.0013,0.0,-0.008,1,0.008,3
2,2.357,0.9544,4.684,1.244,0,0.0,0.0,-0.0096,0.0102,0.001,-0.1065,164,28,0.0196,164,75.25,3.5293,0.5501,4.684,2.718,1.966,0,0.0,-0.0166,0.0088,-0.0005,-0.049,27,0.0184,2.1135,0.3451,2.711,1.671,0,0.0,-0.0087,0.012,-0.0015,-0.1065,7,0.0216,1.4281,0.1205,1.665,1.244,0,0.0,-0.0035,0.0019,0.001,-0.0095,0,0.0,3
3,2.343,0.9446,4.706,1.243,0,0.0,0.0,-0.0097,0.0109,0.0065,-0.096,163,24,0.016,276,103.4583,3.4984,0.5571,4.706,2.695,2.011,0,0.0,-0.0169,0.0103,0.0,-0.048,18,0.0227,2.1061,0.3419,2.69,1.66,0,0.0,-0.0086,0.0122,0.0015,-0.096,14,0.0097,1.4244,0.1203,1.657,1.243,1,1.576,-0.0034,0.003,0.0065,-0.0135,1,0.0135,3
4,2.3393,0.9428,4.54,1.228,0,0.0,0.0,-0.0092,0.0098,0.007,-0.0885,163,26,0.0188,255,110.5769,3.4948,0.5509,4.54,2.711,1.829,0,0.0,-0.0153,0.0089,-0.002,-0.042,17,0.0204,2.1001,0.3413,2.702,1.658,0,0.0,-0.0088,0.0115,0.007,-0.0885,15,0.0139,1.4229,0.12,1.647,1.228,0,0.0,-0.0035,0.0022,0.003,-0.0115,4,0.0075,3
5,2.3417,0.943,4.475,1.234,0,0.0,0.0,-0.009,0.0098,0.005,-0.0955,164,18,0.0133,210,86.3333,3.498,0.5439,4.475,2.723,1.752,1,4.475,-0.0145,0.0089,0.003,-0.0485,18,0.018,2.1051,0.3443,2.721,1.655,0,0.0,-0.0089,0.0119,0.003,-0.0955,10,0.0154,1.4221,0.1202,1.649,1.234,0,0.0,-0.0035,0.0024,0.005,-0.01,1,0.008,3
6,2.3504,0.9616,4.706,1.24,0,0.0,0.0,-0.0097,0.0112,0.009,-0.1045,164,26,0.0148,246,90.0385,3.5257,0.5768,4.706,2.73,1.976,0,0.0,-0.0167,0.01,0.0,-0.049,24,0.0174,2.105,0.3477,2.718,1.653,0,0.0,-0.0089,0.0133,0.0055,-0.1045,8,0.0079,1.4205,0.1191,1.651,1.24,0,0.0,-0.0033,0.0028,0.009,-0.015,2,0.0093,3
7,2.3384,0.9436,4.535,1.24,0,0.0,0.0,-0.0091,0.0098,0.0085,-0.0985,163,23,0.0188,246,116.3913,3.4965,0.5455,4.535,2.722,1.813,0,0.0,-0.0152,0.0082,-0.002,-0.045,15,0.0189,2.0989,0.3418,2.706,1.651,1,1.729,-0.0089,0.012,0.0085,-0.0985,13,0.0167,1.4197,0.1184,1.651,1.24,0,0.0,-0.0034,0.0025,0.0065,-0.013,4,0.0086,3
8,2.3355,0.9373,4.499,1.246,0,0.0,0.0,-0.009,0.0095,0.0055,-0.0975,164,21,0.0121,257,139.0952,3.4879,0.5307,4.499,2.715,1.784,0,0.0,-0.0149,0.0072,0.0055,-0.033,10,0.015,2.0997,0.3409,2.703,1.645,0,0.0,-0.0089,0.0123,0.0025,-0.0975,14,0.0069,1.4188,0.1162,1.639,1.246,0,0.0,-0.0033,0.0021,0.0005,-0.014,2,0.011,3
9,2.3367,0.9411,4.548,1.243,0,0.0,0.0,-0.0092,0.0096,0.004,-0.0865,164,21,0.0162,210,100.4762,3.4912,0.5461,4.548,2.699,1.849,0,0.0,-0.0154,0.0077,0.0025,-0.0375,16,0.0188,2.0979,0.3417,2.689,1.648,0,0.0,-0.0087,0.0119,0.004,-0.0865,14,0.0096,1.421,0.118,1.641,1.243,0,0.0,-0.0033,0.0015,0.0,-0.0075,1,0.0,3
10,2.3362,0.9421,4.581,1.244,0,0.0,0.0,-0.0093,0.0102,0.0055,-0.0985,163,35,0.0159,258,107.3429,3.4928,0.5482,4.581,2.704,1.877,0,0.0,-0.0157,0.0082,0.0035,-0.0405,20,0.0174,2.0933,0.341,2.696,1.65,0,0.0,-0.0088,0.0128,0.0055,-0.0985,16,0.0147,1.4226,0.1193,1.647,1.244,0,0.0,-0.0034,0.0018,0.0005,-0.012,2,0.0047,3
11,2.3243,0.9262,4.462,1.242,0,0.0,0.0,-0.009,0.0094,0.0055,-0.085,163,20,0.0174,203,95.3,3.4644,0.5212,4.462,2.686,1.776,0,0.0,-0.0148,0.008,-0.0015,-0.057,21,0.0155,2.0872,0.3406,2.681,1.65,0,0.0,-0.0086,0.0115,0.0055,-0.085,10,0.0183,1.4212,0.1193,1.65,1.242,0,0.0,-0.0034,0.0017,0.0005,-0.0085,3,0.0018,3
12,2.3146,0.9134,4.473,1.243,0,0.0,0.0,-0.009,0.0095,0.009,-0.09,163,21,0.0167,221,95.8095,3.4395,0.5074,4.473,2.664,1.809,0,0.0,-0.0152,0.0077,0.009,-0.0385,18,0.0171,2.0838,0.3366,2.661,1.653,0,0.0,-0.0084,0.0118,0.006,-0.09,10,0.0135,1.4206,0.1189,1.646,1.243,0,0.0,-0.0034,0.0018,0.0,-0.01,1,0.0005,3
13,2.3246,0.9227,4.562,1.243,0,0.0,0.0,-0.0093,0.0099,0.0075,-0.095,164,30,0.0187,269,109.1333,3.4566,0.5253,4.562,2.701,1.861,0,0.0,-0.0157,0.0083,0.0005,-0.039,19,0.0214,2.0942,0.3418,2.689,1.652,1,1.901,-0.0087,0.0122,0.0075,-0.095,13,0.017,1.423,0.1185,1.644,1.243,0,0.0,-0.0034,0.002,0.003,-0.0145,2,0.0088,3
