,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,1.5388,0.1885,1.828,1.163,1,1.628,109.0,-0.0016,0.0051,0.028,-0.023,37,3,0.023,43,60.3333,1.7271,0.0537,1.828,1.626,0.202,8,1.7251,-0.001,0.0076,0.028,-0.023,3,0.023,1.5848,0.0472,1.66,1.475,7,1.609,-0.0013,0.0044,0.01,-0.014,0,0.0,1.3044,0.0945,1.471,1.163,0,0.0,-0.0026,0.0011,-0.0005,-0.007,0,0.0,2,2,1
1,1.5415,0.1953,1.902,1.158,3,1.6957,100.3333,-0.0016,0.0055,0.0195,-0.0245,42,7,0.0151,170,81.1429,1.7402,0.0719,1.902,1.614,0.288,8,1.7476,-0.0011,0.0083,0.0195,-0.0245,6,0.0172,1.5821,0.044,1.656,1.478,8,1.6083,-0.0011,0.0044,0.0135,-0.015,4,0.0089,1.3022,0.0944,1.475,1.158,0,0.0,-0.0027,0.001,-0.0005,-0.0065,0,0.0,2,2,1
2,1.5344,0.1899,1.868,1.164,0,0.0,0.0,-0.0016,0.0053,0.021,-0.0215,41,4,0.0166,79,95.0,1.7242,0.0655,1.868,1.615,0.253,9,1.7229,-0.001,0.0075,0.0165,-0.0215,4,0.0155,1.5787,0.0482,1.66,1.468,6,1.6042,-0.0012,0.005,0.021,-0.0115,1,0.021,1.3002,0.0933,1.465,1.164,0,0.0,-0.0025,0.0009,0.0,-0.0055,0,0.0,2,2,1
3,1.5318,0.1883,1.821,1.152,2,1.746,66.0,-0.0017,0.0052,0.025,-0.023,163,12,0.0113,181,121.5833,1.7187,0.0532,1.821,1.618,0.203,8,1.728,-0.0011,0.0069,0.0215,-0.023,7,0.0116,1.5796,0.0512,1.663,1.463,5,1.6068,-0.0013,0.0057,0.025,-0.0175,6,0.0094,1.2972,0.0927,1.459,1.152,0,0.0,-0.0026,0.0009,-0.0005,-0.006,0,0.0,2,2,1
4,1.5339,0.192,1.831,1.156,1,1.669,96.0,-0.0016,0.0051,0.0215,-0.0215,33,5,0.0144,181,105.2,1.7266,0.0603,1.831,1.612,0.219,6,1.7593,-0.0011,0.0073,0.0215,-0.0215,5,0.0136,1.5795,0.0494,1.659,1.468,5,1.6062,-0.0012,0.0046,0.0175,-0.014,4,0.0111,1.2957,0.0922,1.465,1.156,0,0.0,-0.0026,0.001,0.0,-0.006,0,0.0,2,2,1
5,1.5156,0.1838,1.774,1.143,1,1.614,160.0,-0.0018,0.0046,0.0165,-0.024,34,7,0.0109,168,126.4286,1.6918,0.0463,1.774,1.613,0.161,7,1.7157,-0.0013,0.0058,0.015,-0.024,3,0.0093,1.572,0.0564,1.661,1.444,7,1.6003,-0.0014,0.0053,0.0165,-0.0205,5,0.011,1.2831,0.0879,1.44,1.143,0,0.0,-0.0025,0.0009,-0.0005,-0.0055,0,0.0,2,2,1
6,1.514,0.183,1.767,1.137,2,1.603,131.5,-0.0017,0.0051,0.026,-0.034,34,8,0.0169,175,97.625,1.687,0.0478,1.767,1.609,0.158,8,1.7019,-0.0012,0.007,0.026,-0.034,7,0.0152,1.573,0.057,1.663,1.44,8,1.5971,-0.0015,0.005,0.017,-0.018,2,0.0148,1.2818,0.0872,1.437,1.137,0,0.0,-0.0025,0.0009,-0.0005,-0.0055,0,0.0,2,2,1
7,1.5129,0.1837,1.773,1.136,1,1.544,176.0,-0.0017,0.0046,0.015,-0.0235,33,4,0.0166,175,81.5,1.6883,0.0476,1.773,1.608,0.165,7,1.7034,-0.001,0.006,0.015,-0.0235,4,0.0138,1.5701,0.0573,1.661,1.44,7,1.5896,-0.0015,0.0049,0.0145,-0.0235,3,0.0172,1.2804,0.0873,1.436,1.136,0,0.0,-0.0025,0.0007,-0.0005,-0.0045,0,0.0,2,2,1
8,1.5105,0.1809,1.761,1.135,0,0.0,0.0,-0.0017,0.0051,0.0205,-0.028,169,9,0.0154,169,94.7778,1.6803,0.047,1.761,1.607,0.154,7,1.6889,-0.001,0.0068,0.0145,-0.027,6,0.0147,1.5701,0.0566,1.663,1.442,7,1.5999,-0.0014,0.0054,0.0205,-0.028,3,0.0168,1.281,0.0881,1.439,1.135,0,0.0,-0.0026,0.0007,0.0,-0.006,0,0.0,2,2,1
9,1.51,0.1811,1.762,1.137,1,1.61,162.0,-0.0017,0.0043,0.015,-0.0195,167,6,0.0115,167,147.6667,1.6815,0.0471,1.762,1.598,0.164,8,1.6946,-0.0011,0.005,0.011,-0.018,2,0.011,1.5676,0.0566,1.659,1.442,7,1.6094,-0.0014,0.0053,0.015,-0.0195,4,0.0118,1.2811,0.0886,1.439,1.137,0,0.0,-0.0025,0.0007,-0.0005,-0.0055,0,0.0,2,2,1
